Date| Title| Encabezado | SecLabel 
28/04/2017|la era trump los 100 dias menos pensados|la era trump los 100 dias menos pensados|mundo
28/04/2017|trump elogio las reformas de macri pero sigue la cautela por octubre|trump elogio las reformas de macri pero sigue la cautela por octubre|politica
28/04/2017|el peso de los impuestos|el peso de los impuestos|editorial
28/04/2017|choque fuego y muerte en la autopista|choque fuego y muerte en la autopista|sucesos
28/04/2017|schiaretti de la sota y vigo una foto con aroma campana|schiaretti de la sota y vigo una foto con aroma campana|politica
28/04/2017|industriales pediran bajar la brecha de tarifa electrica con buenos aires|industriales pediran bajar la brecha de tarifa electrica con buenos aires|negocios
28/04/2017|las bibliotecas populares piden oido y apoyo|las bibliotecas populares piden oido y apoyo|ciudadanos
28/04/2017|30 anos de la sancion de la constitucion de los cordobeses|30 anos de la sancion de la constitucion de los cordobeses|opinion
28/04/2017|acuerdo anual por salarios que le pone fin al regateo|acuerdo anual por salarios que le pone fin al regateo|politica
28/04/2017|sancor pide ayuda para salir de la crisis|sancor pide ayuda para salir de la crisis|negocios
28/04/2017|murio tras ser atacado por un motochoro en pleno centro|murio tras ser atacado por un motochoro en pleno centro|sucesos
28/04/2017|un ano del femicidio de johana se espera el juicio|un ano del femicidio de johana se espera el juicio|ciudadanos
28/04/2017|se retrasa la salida de la oea mientras el duelo gana las calles|se retrasa la salida de la oea mientras el duelo gana las calles|mundo
28/04/2017|anestesistas siguen los problemas con apross y se espera una solucion judicial|anestesistas siguen los problemas con apross y se espera una solucion judicial|ciudadanos
28/04/2017|un porteno que emula el cordobes cordobeses que le dictan en porteno|un porteno que emula el cordobes cordobeses que le dictan en porteno|politica
28/04/2017|fue asesinado balazos cuando iba en su moto|fue asesinado balazos cuando iba en su moto|sucesos
28/04/2017|de la conmocion con le pen padre la indiferencia con la hija marine|de la conmocion con le pen padre la indiferencia con la hija marine|mundo
28/04/2017|brasil se paraliza contra la reforma laboral de temer|brasil se paraliza contra la reforma laboral de temer|mundo
28/04/2017|junto macri trump dijo que venezuela es un desastre|junto macri trump dijo que venezuela es un desastre|mundo
28/04/2017|ahmed al tayeb el terrorismo deriva de la politica no de la religion|ahmed al tayeb el terrorismo deriva de la politica no de la religion|mundo
28/04/2017|cambios economicos de lo dicho lo hecho|cambios economicos de lo dicho lo hecho|mundo
