,Date,Title,Encabezado,SecLabel,Media
0,28/04/2017,"atuel el gobierno no tomo mal el fallo de la corte"">Atuel: el Gobierno no tomó mal el fallo de la Corte","atuel el gobierno no tomo mal el fallo de la corte"">Atuel: el Gobierno no tomó mal el fallo de la Corte",Política,Los Andes
1,28/04/2017,"aumenta el menu del buffet de casa rosada esto cuesta comer cerca de macri y sus ministros"">Aumenta el menú del buffet de Casa Rosada: esto cuesta comer cerca de Macri y sus ministros","aumenta el menu del buffet de casa rosada esto cuesta comer cerca de macri y sus ministros"">Aumenta el menú del buffet de Casa Rosada: esto cuesta comer cerca de Macri y sus ministros",Política,Los Andes
2,28/04/2017,"causa tupac amaru nelida rojas se siente perseguida y apunto contra cornejo"">Causa Tupac Amaru: Nélida Rojas se siente perseguida y apuntó contra Cornejo","causa tupac amaru nelida rojas se siente perseguida y apunto contra cornejo"">Causa Tupac Amaru: Nélida Rojas se siente perseguida y apuntó contra Cornejo",Política,Los Andes
3,28/04/2017,"desclasifican mas archivos de la cia sobre la epoca de la dictadura"">Desclasifican más archivos de la CIA sobre la época de la dictadura militar","desclasifican mas archivos de la cia sobre la epoca de la dictadura"">Desclasifican más archivos de la CIA sobre la época de la dictadura militar",Política,Los Andes
4,28/04/2017,"el 19 de junio comienza la identificacion de los soldados nn del cementerio de malvinas"">El 19 de junio comienza la identificación de los soldados ""NN"" del cementerio de Malvinas","el 19 de junio comienza la identificacion de los soldados nn del cementerio de malvinas"">El 19 de junio comienza la identificación de los soldados ""NN"" del cementerio de Malvinas",Política,Los Andes
5,28/04/2017,"el gobierno elaboro un nuevo reglamento de control de asistencia para empleados publicos"">El Gobierno elaboró un nuevo reglamento de control de asistencia para empleados públicos","el gobierno elaboro un nuevo reglamento de control de asistencia para empleados publicos"">El Gobierno elaboró un nuevo reglamento de control de asistencia para empleados públicos",Política,Los Andes
6,28/04/2017,"el washington post saco un suplemento publicitario sobre argentina"">El Washington Post sacó un suplemento publicitario sobre Argentina","el washington post saco un suplemento publicitario sobre argentina"">El Washington Post sacó un suplemento publicitario sobre Argentina",Política,Los Andes
7,28/04/2017,"en voto dividido otorgaron arresto domiciliario al represor miguel etchecolatz"">En voto dividido, otorgaron arresto domiciliario al represor Miguel Etchecolatz","en voto dividido otorgaron arresto domiciliario al represor miguel etchecolatz"">En voto dividido, otorgaron arresto domiciliario al represor Miguel Etchecolatz",Política,Los Andes
8,28/04/2017,"imagenes del encuentro entre macri y trump"">Imágenes del encuentro entre Macri y Trump","imagenes del encuentro entre macri y trump"">Imágenes del encuentro entre Macri y Trump",Política,Los Andes
9,28/04/2017,"investigan al primo de macri fabio calcaterra por defraudacion a una empresa"">Investigan al primo de Macri, Fabio Calcaterra, por defraudación a una empresa","investigan al primo de macri fabio calcaterra por defraudacion a una empresa"">Investigan al primo de Macri, Fabio Calcaterra, por defraudación a una empresa",Política,Los Andes
10,28/04/2017,"la convivencia en el oficialismo se complica"">La convivencia en el oficialismo se complica","la convivencia en el oficialismo se complica"">La convivencia en el oficialismo se complica",Política,Los Andes
11,28/04/2017,"la justicia pide frenar el cierre pero los casinos del valle de uco se desmantelaron el martes"">La Justicia pide frenar el cierre pero los casinos del Valle de Uco se desmantelaron el martes","la justicia pide frenar el cierre pero los casinos del valle de uco se desmantelaron el martes"">La Justicia pide frenar el cierre pero los casinos del Valle de Uco se desmantelaron el martes",Política,Los Andes
12,28/04/2017,"las lluvias dejaron a 55 escuelas con serios danos"">Las lluvias dejaron a 55 escuelas con serios daños","las lluvias dejaron a 55 escuelas con serios danos"">Las lluvias dejaron a 55 escuelas con serios daños",Política,Los Andes
13,28/04/2017,"macri optimista vamos a ganar las elecciones"">Macri optimista: “Vamos a ganar las elecciones”","macri optimista vamos a ganar las elecciones"">Macri optimista: “Vamos a ganar las elecciones”",Política,Los Andes
14,28/04/2017,"macri volvio de su encuentro con trump y retoma su agenda en buenos aires"">Macri volvió a la actividad tras el viaje a EEUU: ""Van a arreglar lo de los limones""","macri volvio de su encuentro con trump y retoma su agenda en buenos aires"">Macri volvió a la actividad tras el viaje a EEUU: ""Van a arreglar lo de los limones""",Política,Los Andes
15,28/04/2017,"massa y stolbizer anunciaron proyecto para bajar el iva a la canasta alimentaria"">Massa y Stolbizer anunciaron proyecto para bajar el IVA a la canasta alimentaria","massa y stolbizer anunciaron proyecto para bajar el iva a la canasta alimentaria"">Massa y Stolbizer anunciaron proyecto para bajar el IVA a la canasta alimentaria",Política,Los Andes
16,28/04/2017,"murio hernan salvini ex juez supremo de mendoza"">Murió Hernán Salvini, ex juez supremo de Mendoza ","murio hernan salvini ex juez supremo de mendoza"">Murió Hernán Salvini, ex juez supremo de Mendoza ",Política,Los Andes
17,28/04/2017,"rotundo respaldo de trump a macri de cara al futuro"">Rotundo respaldo de Trump a Macri de cara al futuro","rotundo respaldo de trump a macri de cara al futuro"">Rotundo respaldo de Trump a Macri de cara al futuro",Política,Los Andes
18,28/04/2017,"trabajo envio al interventor del gremio de los judiciales y el sindicato se resiste"">Trabajo envió al interventor del gremio de los Judiciales y el sindicato resistió","trabajo envio al interventor del gremio de los judiciales y el sindicato se resiste"">Trabajo envió al interventor del gremio de los Judiciales y el sindicato resistió",Política,Los Andes
19,28/04/2017," que boquita un ayudante de bauza insulto con dureza a tapia y angelici"">¡Qué boquita! Un ayudante de Bauza insultó con dureza a Tapia y Angelici"," que boquita un ayudante de bauza insulto con dureza a tapia y angelici"">¡Qué boquita! Un ayudante de Bauza insultó con dureza a Tapia y Angelici",Deportes,Los Andes
20,28/04/2017,"a mostrarse en las termas"">A mostrarse en las Termas ","a mostrarse en las termas"">A mostrarse en las Termas ",Deportes,Los Andes
21,28/04/2017,"angel gonzalez el sorpresivo goleador del tomba en la copa libertadores"">Ángel González, el 'sorpresivo' goleador del Tomba en la Copa Libertadores","angel gonzalez el sorpresivo goleador del tomba en la copa libertadores"">Ángel González, el 'sorpresivo' goleador del Tomba en la Copa Libertadores",Deportes,Los Andes
22,28/04/2017,"argentina toma distancia en la serie ante brasil"">Argentina toma distancia en la serie ante Brasil","argentina toma distancia en la serie ante brasil"">Argentina toma distancia en la serie ante Brasil",Deportes,Los Andes
23,28/04/2017,"asi quedaron los grupos de la libertadores godoy cruz river y lanus son los argentinos lideres"">Así quedaron los grupos de la Libertadores: Godoy Cruz, River y Lanús son los argentinos líderes","asi quedaron los grupos de la libertadores godoy cruz river y lanus son los argentinos lideres"">Así quedaron los grupos de la Libertadores: Godoy Cruz, River y Lanús son los argentinos líderes",Deportes,Los Andes
24,28/04/2017,"basquet u 17 cayo mendoza y se complico el sueno de oro"">Básquet U 17: cayó Mendoza y se complicó el sueño de oro","basquet u 17 cayo mendoza y se complico el sueno de oro"">Básquet U 17: cayó Mendoza y se complicó el sueño de oro",Deportes,Los Andes
25,28/04/2017,"con el cuello erguido"">Lo llevan en la sangre: con el Cuello erguido","con el cuello erguido"">Lo llevan en la sangre: con el Cuello erguido",Deportes,Los Andes
26,28/04/2017,"doping positivo para el jugador de lanus fernando barrientos"">Doping positivo para el jugador de Lanús Fernando Barrientos","doping positivo para el jugador de lanus fernando barrientos"">Doping positivo para el jugador de Lanús Fernando Barrientos",Deportes,Los Andes
27,28/04/2017,"el marplatense zeballos busca instalarse en las semifinales en barcelona"">El marplatense Zeballos enfrentará a Nadal en semis del ATP de Barcelona","el marplatense zeballos busca instalarse en las semifinales en barcelona"">El marplatense Zeballos enfrentará a Nadal en semis del ATP de Barcelona",Deportes,Los Andes
28,28/04/2017,"el mendocino enzo perez esta lesionado y se perdera el choque ante el real madrid"">El mendocino Enzo Pérez se perderá el choque ante el Real Madrid","el mendocino enzo perez esta lesionado y se perdera el choque ante el real madrid"">El mendocino Enzo Pérez se perderá el choque ante el Real Madrid",Deportes,Los Andes
29,28/04/2017,"el relato del gol de mascherano al ritmo de despacito que se hizo viral"">El relato del gol de Mascherano al ritmo de ""Despacito"" que se hizo viral","el relato del gol de mascherano al ritmo de despacito que se hizo viral"">El relato del gol de Mascherano al ritmo de ""Despacito"" que se hizo viral",Deportes,Los Andes
30,28/04/2017,"el rojo de la sexta gano y recupero la punta 958285"">El Rojo de la Sexta  ganó y recuperó la punta","el rojo de la sexta gano y recupero la punta 958285"">El Rojo de la Sexta  ganó y recuperó la punta",Deportes,Los Andes
31,28/04/2017,"el sevilla gano por correa"">El Sevilla ganó por Correa","el sevilla gano por correa"">El Sevilla ganó por Correa",Deportes,Los Andes
32,28/04/2017,"el tomba gano lidera y asi lo festejaron los jugadores"">El Tomba ganó, lidera el grupo y así lo festejaron los jugadores","el tomba gano lidera y asi lo festejaron los jugadores"">El Tomba ganó, lidera el grupo y así lo festejaron los jugadores",Deportes,Los Andes
33,28/04/2017,"el tomba gano y marcha firme a los octavos"">El Tomba ganó y marcha firme a los octavos","el tomba gano y marcha firme a los octavos"">El Tomba ganó y marcha firme a los octavos",Deportes,Los Andes
34,28/04/2017,"enorme paula pareto se quedo con el panamericano de panama"">Enorme: Paula Pareto se quedó con el Panamericano de Panamá","enorme paula pareto se quedo con el panamericano de panama"">Enorme: Paula Pareto se quedó con el Panamericano de Panamá",Deportes,Los Andes
35,28/04/2017,"este no juega nunca mas un rugbier durmio a un arbitro de una trompada"">Este no juega nunca más: un rugbier durmió a un árbitro de una trompada","este no juega nunca mas un rugbier durmio a un arbitro de una trompada"">Este no juega nunca más: un rugbier durmió a un árbitro de una trompada",Deportes,Los Andes
36,28/04/2017,"exitoso regreso de sharapova quien ya esta en semis de stuttgart"">Exitoso regreso de Sharapova, quien ya está en semis de Stuttgart","exitoso regreso de sharapova quien ya esta en semis de stuttgart"">Exitoso regreso de Sharapova, quien ya está en semis de Stuttgart",Deportes,Los Andes
37,28/04/2017,"formula 1 las ferrari volaron en sochi"">Fórmula 1: las Ferrari volaron en los ensayos libres en Sochi","formula 1 las ferrari volaron en sochi"">Fórmula 1: las Ferrari volaron en los ensayos libres en Sochi",Deportes,Los Andes
38,28/04/2017,"gallardo asumimos que nuestro desafio y objetivo es pelear la copa"">Gallardo: ""“Asumimos que nuestro desafío y objetivo es pelear la Copa""","gallardo asumimos que nuestro desafio y objetivo es pelear la copa"">Gallardo: ""“Asumimos que nuestro desafío y objetivo es pelear la Copa""",Deportes,Los Andes
39,28/04/2017,"guardiola conte y simeone los mejores entrenadores del mundo segun l equipe"">Guardiola, Conte y Simeone, los mejores entrenadores del mundo según L'Équipe","guardiola conte y simeone los mejores entrenadores del mundo segun l equipe"">Guardiola, Conte y Simeone, los mejores entrenadores del mundo según L'Équipe",Deportes,Los Andes
40,28/04/2017,"guillermo barros schelotto boca sigue siendo un equipo que ataca siempre"">Guillermo Barros Schelotto: ""Boca sigue siendo un equipo que ataca siempre""","guillermo barros schelotto boca sigue siendo un equipo que ataca siempre"">Guillermo Barros Schelotto: ""Boca sigue siendo un equipo que ataca siempre""",Deportes,Los Andes
41,28/04/2017,"habra 20 mendocinos en el mundial de australia"">Mendoza es puntal nacional del hockey subacuático","habra 20 mendocinos en el mundial de australia"">Mendoza es puntal nacional del hockey subacuático",Deportes,Los Andes
42,28/04/2017,"hockey cesped un torneo cargado de equipos mendocinos"">Hockey Césped: un torneo cargado de equipos mendocinos","hockey cesped un torneo cargado de equipos mendocinos"">Hockey Césped: un torneo cargado de equipos mendocinos",Deportes,Los Andes
